experiment_id,timestamp_utc,git_head,mode,seed,cpu_affinity,size_bytes,element_count,index_bytes,combined_working_set_bytes,condition,trial,execution_order,repeats,accesses,elapsed_ns,ns_per_access,useful_gib_per_second,checksum_observed,checksum_expected,checksum_pass
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,0,1048576,A_DIRECT,3,9,2,262144,120400,0.45928955078125,16.221968438538205,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,C_RANDOM_INDEX,3,10,2,262144,248700,0.9487152099609375,7.8533373542420595,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,D_POINTER_CHASE,3,11,2,262144,2422600,9.241485595703125,0.8062102699578965,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,1048576,131072,1048576,2097152,B_SEQ_INDEX,3,12,2,262144,236300,0.9014129638671875,8.265446466356327,134086656.0,134086656.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,B_SEQ_INDEX,1,1,1,8388608,7844400,0.9351253509521484,7.967467237774718,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,B_SEQ_INDEX,2,2,1,8388608,7709700,0.9190678596496582,8.106670817282126,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,0,67108864,A_DIRECT,1,3,1,8388608,5105400,0.6086111068725586,12.241939906765385,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,D_POINTER_CHASE,1,4,1,8388608,975443700,116.2819504737854,0.06407340577421332,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,D_POINTER_CHASE,2,5,1,8388608,952886200,113.59288692474365,0.06559020374101335,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,0,67108864,A_DIRECT,2,6,1,8388608,4416300,0.5264639854431152,14.152118289065507,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,C_RANDOM_INDEX,1,7,1,8388608,35664100,4.251492023468018,1.75246256038986,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,B_SEQ_INDEX,3,8,1,8388608,7848700,0.9356379508972168,7.9631021697860795,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,0,67108864,A_DIRECT,3,9,1,8388608,4492200,0.5355119705200195,13.91300476381283,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,D_POINTER_CHASE,3,10,1,8388608,953844400,113.70711326599121,0.0655243140285774,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,C_RANDOM_INDEX,2,11,1,8388608,35370400,4.216480255126953,1.767014226584941,4290772992.0,4290772992.0,True
ACE-EG01-MEMORY-001,20260911T130509Z,d3e037b727e3d4956549dd0ed0549689216b8fff,smoke,20260911,0,67108864,8388608,67108864,134217728,C_RANDOM_INDEX,3,12,1,8388608,35657600,4.2507171630859375,1.7527820156151845,4290772992.0,4290772992.0,True
